platform,domain,owner_name,link,pixelId,facebook_url,like_num,share_num,comment_num
WOOCOMMERCE,wozoro.com,Camping Chill,http://trendeezone.com/BG1715,731376210580000.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vODQyODgzMDg5Mzk4MDI4IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARdm:qTzQJy1kt3ltURMsedrE4D-xepA,11,3,1
SHOPIFY,patriotwear.com,PatriotWear,https://bit.ly/2mkrANG,498589287562670.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vODMyMjY3MTAwNTAwMTIxIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARdm:3pS2g1TekonCY_Rdv0R2geoEcsM,45,6,2
SHOPIFY,pandzee.com,Today Is A Good Day,https://dingtee.com/08a2,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAzMDEwODQ3OTczOTU5IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARdm:QKWbTvEPwrtfS6emfnJPXbQRxtw,4,0,0
SHOPIFY,pandzee.com,Life is better around the Campfire,https://dingtee.com/klqn,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMjAyOTg0OTkzNTkxMjE1IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARdm:RCDR_2h5DSqnZ2rIpScIhcQxse8,48,9,6
WOOCOMMERCE,podnmore.com,Snoopy Lovers,https://tinyurl.com/s8qkhn4,753058751849620.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTA1MTAzNTQ3NzY0OTQ3IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARdm:UE-nMyyjTpgGQcUHnfAjNczTQuo,16,4,3
WOOCOMMERCE,podnmore.com,Snoopy Lovers,https://tinyurl.com/wucpr5r,753058751849620.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTA1MTAzNTQ3NzY0OTQ3IiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:tGQ0D5mKMLpY9qvI5ksm4gKxTPI,14,1,2
SHOPIFY,designfullprint.com,Forever,https://mytee.live/lion-cup,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTA4NDg1ODYzOTc5OTYwIiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:QWH9jNeoXXNxRNDqxo4MD6Dvc8A,0,1,0
SHOPIFY,designfullprint.com,Forever,https://mytee.live/mom-black-cup,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTA4NDg1ODYzOTc5OTYwIiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:QWH9jNeoXXNxRNDqxo4MD6Dvc8A,12,1,1
SHOPIFY,www.piperloucollection.com,Piper Lou Collection,https://www.piperloucollection.com/collections/all/products/this-is-probably-vodka-coated-30oz-tumbler,1520374701535750.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMjM0MDk0NjY2OTU1ODQxIiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:-9MYw77EahxffodOquiXp6KJSCc,7,2,0
SHOPIFY,pandzee.com,Yoga For Peace of Mind,https://dingtee.com/drpb,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMzI4MTg0MzE3NjcwMDM2IiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:i2LmxgoY1uPpeO5pP9pwY8zR4lE,160,22,4
WOOCOMMERCE,hiqush.com,Design & Sport,https://tinyurl.com/wvksmwp,753058751849620.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTEwNzQwNzc3MTcwNzMyIiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:HlUu4UJSRqZnyCIulBPUZRjQv8w,1,0,0
SHOPIFY,pandzee.com,Reading Is Dreaming With Open Eyes,https://dingtee.com/zaij,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTA3MDUxNDY3NTY1ODE3IiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:UaKJ0KUBSg2KvHyYTjPLippmlto,2,0,0
SHOPIFY,pandzee.com,Doctors For Life,https://dingtee.com/hozl,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAzNzYwNDk0NTQyNTc1IiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:zmu4C1REiy4ostm6HwQTuV4PZ14,6,5,3
SHOPIFY,designfullprint.com,Forever,https://mytee.live/ring-cup,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTA4NDg1ODYzOTc5OTYwIiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:QWH9jNeoXXNxRNDqxo4MD6Dvc8A,2,2,0
SHOPIFY,pandzee.com,Running community,https://dingtee.com/1tyv,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMzU5NDA2MzkxMjMzMjAxIiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:rCSfS-wTGpjNznYDfIpIN9ReyT0,93,36,6
WOOCOMMERCE,societily.com,R.Stones 4U,https://rebrand.ly/80oucos,1082610825414627.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTA2NDU5MTUwOTYwMDkxIiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:RGpw7UR4TTfqBxBMP_WqpEo2slA,6,1,0
SHOPIFY,cmarshop.com,Cmarshop.com,https://bit.ly/37HQgRT,831308673977757.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTExOTQ3MDU3MDAxMzIwIiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:hgcVVheX4jPnwdqHC06V_X2nvbY,0,0,0
SHOPIFY,pandzee.com,I Love Winter Sports,https://dingtee.com/caxk,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAyNTAxOTQ4MDE1MjA4IiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:0TxAG6gJWRd5PdbJ5TMmG2w5n0s,23,2,0
SHOPIFY,amyscoffeemugs.com,Amy's Coffee Mugs,https://amyscoffeemugs.com/collections/gingham,2271576403061238.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vNTMzNjY5MTE3MTA5NDYzIiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:qVlou1HcipO6MYhxn20V2qwxnqk,133,7,3
SHOPIFY,thewantsies.com,The Wantsies,http://bit.ly/2MM3qrg,347435839333811.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vOTMxMTI1ODUwNDAzMzIzIiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:DWGs0UeerbQoyvFYmS3gq1pfQyY,1,0,0
SHOPIFY,tasteful-designs-llc.myshopify.com,Tasteful Designs LLC,http://Www.tasteful-designs.com,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vNTkxNzQ0Njc0NTc2OTg2IiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:ftE1nxGYsNoCg2XAYtegwR6ynCQ,5,0,3
WOOCOMMERCE,www.shopnowhereland.com,Land store,http://bit.ly/2ToOZdg,510602216320090.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAzOTk5MTI0NTM3NDk1IiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:P_32U_8hPecVbR7bJidY_MCVZmg,19,4,4
SHOPIFY,janischcreations.com,Janisch Creations,https://janischcreations.com/products/hyrdodip-glitter-tumbler?_pos=1&_sid=52f4223f5&_ss=r,2623746501185811.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vNjQ2ODUzNzUyNDIwODc1IiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:LHHKwAOMMXHnGZFybwYLh_-59-4,2,0,0
SHOPIFY,fuzzyloondesigns.com,Fuzzy Loon Designs,https://bit.ly/2oEyMp0,884399758562181.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTYxMTIzODgzOTE4NTMzNCIsImFub255bW91cyI6dHJ1ZX0:1jAReb:rQk_UkHbvhioj9_JLp9WeXSiA9I,7,0,2
WOOCOMMERCE,www.shopnowhereland.com,Land store,http://bit.ly/3871nnx,510602216320090.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAzOTk5MTI0NTM3NDk1IiwiYW5vbnltb3VzIjp0cnVlfQ:1jAReb:P_32U_8hPecVbR7bJidY_MCVZmg,8,3,1
